Project,artigenz,codellama,qwen,CNB,DT,LR,MLP,RF,SVM
atlasdb,0.0,0.018018018018018,0.0104712041884816,0.048780487804878,0.1176470588235294,0.0597014925373134,0.0,0.0,0.0459770114942528
autopsy,0.018018018018018,0.0,0.0141843971631205,0.0625,0.0,0.0,0.0,0.0,0.1666666666666666
bazel,0.018808777429467,0.0301507537688442,0.0241691842900302,0.0359281437125748,0.0512820512820512,0.0298507462686567,0.0,0.0,0.0310077519379844
bisq,0.0240963855421686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boofcv,0.0091324200913242,0.0,0.008695652173913,0.0105820105820105,0.0,0.0219780219780219,0.0,0.0,0.024390243902439
caffeine,0.1,0.0952380952380952,0.08,0.2666666666666666,0.4444444444444444,0.2352941176470588,0.0,0.0,0.2222222222222222
crate,0.0121212121212121,0.0241935483870967,0.0209790209790209,0.0,0.0,0.0,0.0,0.0,0.0
dataverse,0.048780487804878,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.1538461538461538
dbeaver,0.0112676056338028,0.024793388429752,0.0266666666666666,0.0130081300813008,0.0,0.0207253886010362,0.0,0.0,0.0195121951219512
elasticsearch,0.0636515912897822,0.0661157024793388,0.072487644151565,0.0482758620689655,0.1237785016286645,0.0788732394366197,0.0,0.0,0.0702702702702702
gradle,0.0066445182724252,0.0044052863436123,0.0179856115107913,0.0879120879120879,0.028169014084507,0.0779220779220779,0.0,0.0,0.0636942675159235
grpc-java,0.0416666666666666,0.0701754385964912,0.125,0.08,0.1052631578947368,0.0689655172413793,0.0,0.0,0.0689655172413793
hapi-fhir,0.0,0.0217391304347826,0.0384615384615384,0.0287081339712918,0.046875,0.0136054421768707,0.0,0.0,0.036144578313253
mica2,0.0967741935483871,0.0967741935483871,0.14,0.0916030534351145,0.136986301369863,0.1785714285714285,0.0,0.0,0.1538461538461538
nextprot-api,0.0,0.0303030303030303,0.0526315789473684,0.0769230769230769,0.4444444444444444,0.2105263157894736,0.0,0.0,0.1904761904761904
openl-tablets,0.0,0.0105263157894736,0.0079681274900398,0.0,0.0,0.0,0.0,0.0,0.0
openolat,0.0118110236220472,0.0140350877192982,0.0089285714285714,0.0047619047619047,0.0,0.0068493150684931,0.0,0.0,0.0072992700729927
opentripplanner,0.0,0.0,0.0625,0.0869565217391304,0.0,0.1666666666666666,0.0,0.0,0.1818181818181818
presto,0.0,0.0075471698113207,0.0061919504643962,0.0089285714285714,0.0,0.0,0.0,0.0,0.0
spongecommon,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spring-boot,0.0,0.0,0.0086206896551724,0.028169014084507,0.0,0.0,0.0,0.0,0.0
spring-framework,0.0070422535211267,0.0093457943925233,0.01,0.02,0.0594059405940594,0.0116959064327485,0.0,0.0,0.0134228187919463
spring-integration,0.0787401574803149,0.0186915887850467,0.0219780219780219,0.0,0.0833333333333333,0.0412371134020618,0.0,0.0,0.0
stratosphere,0.0444444444444444,0.0833333333333333,0.0408163265306122,0.0465116279069767,0.0,0.0444444444444444,0.0,0.0,0.0363636363636363
structr,0.0558659217877094,0.064516129032258,0.043010752688172,0.0987654320987654,0.0821917808219178,0.0754716981132075,0.0,0.0,0.0934579439252336
vert.x,0.054054054054054,0.0,0.1212121212121212,0.1333333333333333,0.1428571428571428,0.0,0.0,0.0,0.0
vespa,0.0,0.0,0.0056657223796034,0.0,0.0,0.0,0.0,0.0,0.0
webanno,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0
worldgrower,0.0408163265306122,0.0277777777777777,0.017391304347826,0.0,0.0,0.16,0.0,0.0,0.2
xchange,0.1811320754716981,0.0977777777777777,0.2146596858638743,0.2390243902439024,0.42,0.3644067796610169,0.0327868852459016,0.5842696629213483,0.3800904977375565
xp,0.016,0.0,0.0092592592592592,0.0,0.0,0.0,0.0,0.0,0.0
